codigo,apartamento,qtd_quartos,qtd_banheiros,qtd_garagem,metragem,bairro,valor_venda
183497.0,Apartamento a Venda no Centro de Ribeirão Preto,2.0,2.0,1.0,65.0,Centro,250000.0
204887.0,Apartamento de 252m² com 05 quartos à venda   Centro de Ribeirão Preto,5.0,5.0,3.0,252.0,Centro,970000.0
167537.0,Apartamento no Parque Olhos D`Água   KAIRÓS,3.0,3.0,2.0,151.0,Jardim Olhos DAgua,1315906.8
150491.0,Apartamento de 32m² 01 quarto para locação   Bonfim Paulista,1.0,1.0,1.0,32.0,Loteamento Santa Marta,192000.0
210758.0,Apartamento de 44m² com 02 quartos à venda   Vila Guiomar,2.0,1.0,1.0,44.0,Vila Guiomar,230000.0
226616.0,Apartamento de 54m² com 02 quartos à venda   Sumarezinho,2.0,2.0,1.0,54.0,Sumarezinho,380000.0
200396.0,IMÓVEL MOBILIADO PRÓXIMO À FRANCISCO JUNQUERA,1.0,1.0,1.0,76.0,Jardim Macedo,215000.0
202544.0,APARTAMENTO NO JARDIM BOTÂNICO,1.0,1.0,1.0,40.0,Bosque das Juritis,420000.0
125018.0,APARTAMENTO NO CENTRO,3.0,3.0,2.0,123.0,Centro,530000.0
121331.0,Apartamento de 83m² com 03 quartos sendo 01 suíte à venda   Centro,3.0,3.0,2.0,83.0,Centro,440000.0
231641.0,Apartamento de 60m² com 02 suítes para locação e venda   Vila do Golf.,2.0,3.0,1.0,60.0,Residencial Taiwan,560000.0
244109.0,Apartamento de 41m² com 02 quartos à venda   Reserva Real,2.0,1.0,1.0,41.0,Reserva Real,145000.0
195932.0,APARTAMENTO NO PARQUE ROCHESTER,2.0,1.0,1.0,45.0,Sumarezinho,172000.0
64340.0,Apartamento térreo de 66m² á venda   Lagoinha,3.0,2.0,1.0,66.0,Parque Industrial Lagoinha,239000.0
226643.0,Apartamento de 48m² com 02 quartos à venda   Jardim Manoel Penna,2.0,1.0,1.0,48.0,Jardim Manoel Penna,149999.0
229244.0,Apartamento de 115m² com 02 quartos à venda   Centro,2.0,2.0,1.0,115.0,Centro,330000.0
164798.0,APARTAMENTO NO BAIRRO JARDIM BOTÂNICO,2.0,2.0,1.0,55.0,Jardim Botanico,380000.0
223586.0,Apartamento de 298m² com 04 suítes à venda   Jardim Olhos D`Água,4.0,6.0,4.0,298.0,Jardim Olhos DAgua,2452598.0
60392.0,Apartamento   Padrão,2.0,3.0,1.0,127.0,Centro,420000.0
174404.0,APARTAMENTO NO CENTRO,1.0,1.0,1.0,63.0,Centro,250000.0
