codigo,apartamento,qtd_quartos,qtd_banheiros,qtd_garagem,metragem,bairro,valor_venda
207305.0,Apartamento de 48m² com 2 quartos   Quali NK Residencial,2.0,1.0,1.0,48.0,Jardim Sao Fernando,180000.0
205520.0,Apartamento de 62m² com 02 quartos para locação e venda   Jardim Botânico,2.0,2.0,2.0,62.0,Alamedas do Botanico,780000.0
235439.0,Apartamento de 42m² com 02 quartos para locação e venda   Jardim Heitor Rigon,2.0,1.0,1.0,42.0,Jardim Heitor Rigon,199000.0
177239.0,APARTAMENTO NO RESIDENCIAL GREENVILE,2.0,1.0,1.0,44.0,Residencial Greenville,191000.0
230150.0,Apartamento de 111m² com 03 quartos à venda   Jardim Nova Aliança Sul,3.0,3.0,2.0,111.0,Jardim Nova Alianca Sul,795000.0
238772.0,Apartamento de 47m² com 02 quartos à venda   Alto do Ipiranga,2.0,1.0,1.0,47.0,Alto do Ipiranga,245000.0
243557.0,Apartamento de 49m² com 02 quartos à venda   Sumarezinho,2.0,1.0,1.0,49.0,Sumarezinho,210000.0
100763.0,Apartamento de 125m² com 03 quartos á venda   Jardim Irajá,3.0,3.0,2.0,125.0,Jardim Iraja,750000.0
170300.0,APARTAMENTO NO JARDIM ANHANGUERA,2.0,1.0,1.0,52.0,Jardim Anhanguera,248000.0
132866.0,Apartamento de 48m² com 02 quartos para venda   Parque São Sebastião,2.0,1.0,1.0,48.0,Parque Sao Sebastiao,165000.0
132671.0,APARTAMENTO NO CENTRO 3 DORMITÓRIOS,3.0,4.0,1.0,165.0,Centro,530000.0
142583.0,Apartamento de 63m² com 03 quartos à venda   Jardim Interlagos,3.0,1.0,1.0,63.0,Jardim Interlagos,220000.0
212864.0,Apartamento de 45m² com 02 quartos a venda   Parque Renascer,2.0,1.0,1.0,45.0,Jardim Manoel Penna,160000.0
200228.0,BELÍSSIMO APTO NO NOVA ALIANÇA SUL,3.0,2.0,2.0,80.0,Jardim Nova Alianca Sul,650000.0
244271.0,Apartamento de 85m² com 02 suítes para venda e locação   Nova Aliança,2.0,3.0,2.0,85.0,Nova Alianca,750129.0
137801.0,APARTAMENTO NO VILA VIRGINÍA,2.0,1.0,1.0,55.0,Vila Virginia,138000.0
233303.0,Apartamento de 78m² com 03 quartos para venda   Parque dos Lagos,3.0,2.0,1.0,78.0,Parque dos Lagos,360000.0
90590.0,Apartamento de 99m² com 02 quartos para locação   Centro,2.0,3.0,1.0,99.0,Centro,310000.0
222575.0,Apartamento de 32m² com 01 quarto à venda   Bonfim Paulista,1.0,1.0,1.0,32.0,Loteamento Santa Marta,210000.0
229565.0,Apartamento de 237m² com 03 suítes para venda e locação   Ilhas do Sul,3.0,5.0,4.0,237.0,Jardim Ilhas do Sul,2400000.0
195134.0,Apartamento de 47m² com 02 quartos à venda   Vila Virgínia,2.0,1.0,1.0,47.0,Vila Virginia,260000.0
241172.0,Apartamento de 44m² com 02 quartos à venda   Reserva São José,2.0,1.0,1.0,44.0,Reserva Sao Jose,270000.0
132497.0,Apartamento de 80m² com 03 quartos sendo 1 suíte à venda   Alto da Boa Vista,3.0,2.0,1.0,80.0,Alto da Boa Vista,365000.0
183398.0,APARTAMENTO PARQUE DOS LAGOS,2.0,1.0,1.0,45.0,Parque dos Lagos,197000.0
244703.0,Apartamento de 41m² com 02 quartos para venda e locação   Conjunto Habitacional Sílvio Passalacqua,2.0,1.0,1.0,41.0,Conjunto Habitacional Silvio Passalacqua,150000.0
50009.0,APARTAMENTO NA LAGOINHA,1.0,1.0,1.0,45.0,Parque Industrial Lagoinha,225000.0
134651.0,Apartamento de 02 quartos para venda   Heitor Rigon,2.0,1.0,1.0,42.0,Jardim Heitor Rigon,165000.0
243647.0,Apartamento de 69m² com 02 quartos à venda   Jardim Sumaré,2.0,2.0,2.0,69.0,Jardim Sumare,759000.0
152216.0,APARTAMENTO TÉRREO PRÓXIMO À AVENIDA BARÃO DO BANANAL,2.0,2.0,2.0,64.0,Residencial e Comercial Palmares,250000.0
232412.0,Apartamento 49m² com 02 quartos à venda   Parque Industrial Lagoinha,2.0,2.0,1.0,49.0,Parque Industrial Lagoinha,255000.0
239165.0,Apartamento de 47m² com 01 quarto e varanda gourmet à venda   Vila Monte Alegre,1.0,1.0,1.0,47.0,Vila Monte Alegre,440000.0
181703.0,APARTAMENTO NO RESIDENCIAL DAS AMERICAS,2.0,1.0,1.0,43.0,Residencial das Americas,130000.0
200282.0,Apartamento   Padrão,2.0,2.0,2.0,90.0,Bosque das Juritis,529000.0
192305.0,Apartamento de 46m² com 02 quartos e varanda no térreo à venda no Ipiranga.,2.0,1.0,1.0,46.0,Ipiranga,160000.0
188390.0,APARTAMENTO CENRTO   PRÓXIMO A CATEDRAL ALUGADO!,3.0,3.0,1.0,141.0,Centro,370000.0
232898.0,Apartamento mobiliado de 127m² com 03 suítes para locação e venda   Nova Aliança,3.0,4.0,2.0,127.0,Nova Alianca,1200000.0
82289.0,Apartamento   Padrão,2.0,1.0,1.0,55.0,Vila Virginia,130000.0
236177.0,Apartamento de 97m² com 3 quartos à venda   Jardim Irajá.,3.0,1.0,1.0,97.0,Jardim Iraja,404500.0
151808.0,Apartamento de 46m² com 02 quartos à venda   Ribeirânia,2.0,1.0,1.0,46.0,Ribeirania,215000.0
217361.0,Apartamento de 88m² com 03 quartos à venda   Centro,3.0,2.0,1.0,88.0,Centro,403000.0
207722.0,Apartamento de 237m² com 03 suítes à venda   Ilhas do Sul,3.0,5.0,4.0,237.0,Jardim Ilhas do Sul,1900000.0
216410.0,Apartamento de 77m² com 02 quartos para locação   Jardim Nova Aliança Sul,2.0,2.0,1.0,77.0,Jardim Nova Alianca Sul,520000.0
118373.0,Apartamento   Padrão,2.0,2.0,1.0,55.0,Jardim Zara,192000.0
234233.0,Apartamento de 345m² com 04 suítes à venda   Residencial Morro do Ipê,3.0,5.0,4.0,345.0,Residencial Morro do Ipe,3500000.0
227678.0,Apartamento de 153m² com 04 suítes à venda   Jardim Olhos D`Água,4.0,6.0,3.0,153.0,Jardim Olhos DAgua,1156374.0
231989.0,Apartamento de 71m² com 02 quartos à venda   Bosque das Juritis,2.0,2.0,2.0,71.0,Bosque das Juritis,620000.0
82700.0,Apartamento de 109m² com 03 quartos para venda   Centro,3.0,2.0,1.0,109.0,Centro,330000.0
178529.0,Apartamento de 68m² com 03 quartos á venda e para locação   Centro,3.0,2.0,1.0,68.0,Alto da Boa Vista,340000.0
104780.0,Apartamento de 75m² com 03 quartos sendo 01 suíte à venda  Planalto Verde,3.0,2.0,1.0,75.0,Planalto Verde,270000.0
178496.0,Apartamento   Padrão,2.0,1.0,1.0,42.0,Jardim Jose Wilson Toni,190000.0
26963.0,Apartamento de 39m² com 01 suíte para venda   Vila Seixas,1.0,1.0,1.0,39.0,Vila Seixas,185000.0
105659.0,Apartamento de 02 quartos para locação   Jardim Sumaré,2.0,1.0,1.0,49.0,Jardim Sumare,190000.0
213689.0,Apartamento térreo de 43m² com 02 quartos à venda   Jardim Interlagos,2.0,1.0,1.0,43.0,Jardim Interlagos,225000.0
201431.0,APARTAMENTO NO JARDIM SUMARÉ,3.0,2.0,1.0,59.0,Jardim Sumare,220000.0
137177.0,APARTAMENTO NOS CAMPOS ELÍSEOS,3.0,2.0,1.0,47.0,Campos Eliseos,160000.0
174860.0,EXCELENTE APARTAMENTO RESIDENCIAL VITTA II   HEITOR RIGON,2.0,1.0,1.0,43.0,Jardim Heitor Rigon,165000.0
211187.0,Apartamento de 87m² 02 quartos à venda   Jardim Zara,2.0,2.0,1.0,87.0,Jardim Zara,320000.0
113390.0,Apartamento   Padrão,2.0,1.0,1.0,42.0,Ribeirao Verde,150000.0
203882.0,Apartamento novo de 49m² com 02 quartos à venda   Jardim Novo Mundo,2.0,1.0,1.0,49.0,Jardim Novo Mundo,275923.33
171122.0,APARTAMENTO NP JARDIM PALMA TRAVASSOS,2.0,1.0,1.0,52.0,Jardim Palma Travassos,186000.0
111671.0,Apartamento de 118m² com 03 suítes à venda   Jardim Saint Gerard,4.0,3.0,2.0,118.0,Jardim Saint Gerard,1200000.0
128372.0,Apartamento de 310m² com 04 quartos à venda   Jardim Botânico,4.0,7.0,2.0,310.0,Jardim Botanico,3040000.0
120941.0,Apartamento de 75m² com 2 quartos à venda no Parque Industrial Lagoinha.,2.0,2.0,1.0,75.0,Parque Industrial Lagoinha,400000.0
103598.0,Apartamento de 30m² com 01 quarto e varanda à venda   Nova Aliança,1.0,1.0,1.0,30.0,Nova Alianca,260000.0
164552.0,APARTAMENTO EM ÓTIMA LOCALIZAÇÃO PRÓXIMO AO ATACADÃO,2.0,1.0,1.0,42.0,Quintino Facci II,170000.0
33935.0,APARTAMENTO PRÓXIMO À AVENIDA CARAMURU,1.0,1.0,1.0,42.0,Centro,135000.0
159908.0,Apartamento de 45m² com 02 quartos para venda mobiliado   João Rossi,2.0,1.0,4.0,45.0,Nova Alianca,129000.0
178154.0,APARTAMENTO QUINTINO FACCI II,2.0,1.0,1.0,48.0,Quintino Facci II,120000.0
132023.0,Apartamento de 60m² com 03 quartos à venda no Jardim Palma Travassos,3.0,2.0,2.0,60.0,Jardim Palma Travassos,299000.0
167921.0,Apartamento de 113m² com 03quartos para venda   Jardim Olhos d`água,3.0,3.0,2.0,113.0,Jardim Olhos DAgua,1100000.0
179345.0,Apartamento de 49m² com 02 quartos à venda   City Ribeirão,2.0,1.0,1.0,49.0,City Ribeirao,401428.0
170273.0,Apartamento à venda com 2 quartos   Jardim Olhos D`Água,2.0,2.0,2.0,74.0,Bonfim Paulista,751248.0
212750.0,Apartamento de 298m² com 04 suítes à venda   Jardim Olhos D`Água,4.0,7.0,4.0,298.0,Jardim Olhos DAgua,2490000.0
182717.0,APARTAMENTO PRÓXIMO À AVENIDA 9 DE JULHO,3.0,3.0,1.0,139.0,Centro,330000.0
